CARRERA;MÁXIMO ;MÍNIMO;INGRESANTES;POSTULANTES;% INGRESO
ADMINISTRACIÓN;1380;999;99;553;17.90%
ADMINISTRACIÓN DE LA GASTRONOMÍA;1325;988;20;127;15.75%
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES;1469;1076;65;805;8.07%
ADMINISTRACIÓN DE TURISMO;1280;758;99;172;57.56%
ADMINISTRACIÓN MARÍTIMA Y PORTUARIA;1228;1025;16;140;11.43%
ANTROPOLOGÍA;1133;763;38;57;66.67%
ARQUEOLOGÍA;1228;826;40;73;54.79%
ARQUITECTURA Y URBANISMO;1566;1188;26;514;5.06%
ARTE;1105;700;28;52;53.85%
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO;1320;826;69;121;57.02%
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN;1144;842;27;83;32.53%
CIENCIA DE LA COMPUTACIÓN;1510;1019;53;134;39.55%
CIENCIA POLÍTICA;1330;1070;56;372;15.05%
CIENCIAS BIOLÓGICAS;1278;964;45;187;24.06%
COMPUTACIÓN CIENTÍFICA;1055;576;42;42;100.00%
COMUNICACIÓN SOCIAL;1325;1099;32;301;10.63%
CONSERVACIÓN Y RESTAURACIÓN;1076;698;28;39;71.79%
CONTABILIDAD;1359;876;165;479;34.45%
CRIMINALÍSTICA FINANCIERA FORENSE;1132;855;45;168;26.79%
DANZA;1228;937;6;6;100.00%
DERECHO;1638;1186;140;1873;7.47%
ECONOMÍA;1546;1148;79;659;11.99%
ECONOMÍA INTERNACIONAL;1406;1009;84;311;27.01%
ECONOMÍA PÚBLICA;1356;901;83;174;47.70%
EDUCACIÓN FÍSICA;1248;896;95;160;59.38%
EDUCACIÓN INICIAL;1108;925;18;179;10.06%
EDUCACIÓN PRIMARIA;1267;982;20;146;13.70%
EDUCACIÓN SECUNDARIA;1371;970;76;361;21.05%
ESTADÍSTICA;1447;397;65;65;100.00%
FILOSOFÍA;1177;763;28;38;73.68%
FÍSICA;1372;503;53;55;96.36%
GENÉTICA Y BIOTECNOLOGÍA;1357;1059;42;170;24.71%
GEOFÍSICA;1082;497;87;88;98.86%
GEOGRAFÍA;1166;441;58;58;100.00%
GESTIÓN TRIBUTARIA;1279;788;60;109;55.05%
HISTORIA;1238;1008;29;80;36.25%
INGENIERÍA AGROINDUSTRIAL;1329;899;55;136;40.44%
INGENIERÍA AMBIENTAL;1434;1126;20;165;12.12%
INGENIERÍA BIOMÉDICA;1717;1310;27;239;11.30%
INGENIERÍA CIVIL;1522;1270;37;642;5.76%
INGENIERÍA DE INTELIGENCIA ARTIFICIAL;1465;1131;44;512;8.59%
INGENIERÍA DE MINAS;1314;1175;25;275;9.09%
INGENIERÍA DE SEGURIDAD Y SALUD EN EL TRABAJO;1253;903;30;79;37.97%
INGENIERÍA DE SISTEMAS;1558;1268;50;875;5.71%
INGENIERÍA DE SOFTWARE;1502;1178;49;411;11.92%
INGENIERÍA DE TELECOMUNICACIONES;1411;1025;44;125;35.20%
INGENIERIA DE TRANSPORTES Y SISTEMAS FERROVIARIOS;1275;913;44;172;25.58%
INGENIERIA DEL AGUA Y TECNOLOGIAS DE TRATAMIENTO;1083;652;50;57;87.72%
INGENIERÍA ELÉCTRICA;1341;993;58;172;33.72%
INGENIERÍA ELECTRÓNICA;1407;1066;61;255;23.92%
INGENIERÍA GEOGRÁFICA;1393;937;31;89;34.83%
INGENIERÍA GEOLÓGICA;1401;969;53;165;32.12%
INGENIERÍA INDUSTRIAL;1613;1164;90;866;10.39%
INGENIERÍA LOGÍSTICA Y CADENA DE SUMISTRO DIGITAL;1337;1004;42;165;25.45%
INGENIERÍA MECÁNICA DE FLUIDOS;1214;724;73;87;83.91%
INGENIERÍA MECATRÓNICA;1435;1126;35;291;12.03%
INGENIERÍA METALÚRGICA;1390;878;30;73;41.10%
INGENIERÍA NUCLEAR;1238;761;39;54;72.22%
INGENIERÍA QUÍMICA;1424;973;60;173;34.68%
INGENIERÍA TEXTIL Y CONFECCIONES;1212;826;50;102;49.02%
INVESTIGACIÓN OPERATIVA;1145;468;33;36;91.67%
LENGUAS, TRADUCCIÓN E INTERPRETACIÓN;1503;1041;29;178;16.29%
LINGUÍSTICA;1234;936;29;62;46.77%
LITERATURA;1245;978;29;93;31.18%
MARKETING;1309;1056;16;162;9.88%
MATEMÁTICA;1538;152;43;45;95.56%
MICROBIOLOGÍA Y PARASITOLOGÍA;1257;970;34;92;36.96%
PRESUPUESTO Y FINANZAS PÚBLICAS;1225;780;55;77;71.43%
QUÍMICA;1217;561;54;55;98.18%
SOCIOLOGÍA;1266;997;34;132;25.76%
TRABAJO SOCIAL;1220;929;46;174;26.44%
